2023-05-12 15:44:50.240 [main] INFO  com.xl.parking.ParkingApplication - Starting ParkingApplication on SeasondeMacBook-Pro-2.local with PID 24343 (/Users/season/Projects/code51.cn_源码乐园/code/code/target/classes started by season in /Users/season/Projects/code51.cn_源码乐园/code/code)
2023-05-12 15:44:50.241 [main] INFO  com.xl.parking.ParkingApplication - No active profile set, falling back to default profiles: default
2023-05-12 15:44:50.459 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-05-12 15:44:50.460 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-12 15:44:50.473 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2023-05-12 15:44:50.641 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-12 15:44:50.643 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$548244a1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-12 15:44:50.688 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-12 15:44:50.802 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2023-05-12 15:44:50.806 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2023-05-12 15:44:50.806 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-12 15:44:50.806 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2023-05-12 15:44:50.839 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-12 15:44:50.839 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 584 ms
2023-05-12 15:44:50.993 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2023-05-12 15:44:50.994 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-12 15:44:50.998 [Druid-ConnectionPool-Create-1111867240] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2023-05-12 15:44:51.005 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-05-12 15:53:34.154 [main] INFO  com.xl.parking.ParkingApplication - Starting ParkingApplication on SeasondeMacBook-Pro-2.local with PID 24618 (/Users/season/Projects/code51.cn_源码乐园/code/code/target/classes started by season in /Users/season/Projects/code51.cn_源码乐园/code/code)
2023-05-12 15:53:34.156 [main] INFO  com.xl.parking.ParkingApplication - No active profile set, falling back to default profiles: default
2023-05-12 15:53:34.384 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-05-12 15:53:34.385 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-12 15:53:34.398 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2023-05-12 15:53:34.562 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-12 15:53:34.563 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$d6b4a0d6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
