2022-08-21 16:36:23.883 [http-nio-9000-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 71153
2022-08-21 16:36:23.884 [http-nio-9000-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 114335
2022-08-21 16:36:23.885 [http-nio-9000-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 114339
2022-08-21 16:36:38.515 [http-nio-9000-exec-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 128972
2022-08-21 16:36:38.517 [http-nio-9000-exec-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 128989
2022-08-21 16:37:51.810 [http-nio-9000-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 73290
2022-08-21 16:37:51.812 [http-nio-9000-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 73294
2022-08-21 16:39:39.674 [http-nio-9000-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?serverTimezone=GMT%2B8&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 102950
2022-08-21 16:41:47.110 [http-nio-9000-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 74376
2022-08-21 16:41:47.112 [http-nio-9000-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 74421
2022-08-21 16:41:47.113 [http-nio-9000-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 74426
2022-08-21 16:41:47.115 [http-nio-9000-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 74431
2022-08-21 16:41:48.304 [http-nio-9000-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 75639
2022-08-21 16:44:03.674 [http-nio-9000-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 135357
2022-08-21 17:26:34.818 [http-nio-9000-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/parking?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai&useSSL=false, version : 1.2.8, lastPacketReceivedIdleMillis : 72342
